gene	distance
187353at32523	0.6666666666666666
187585at32523	0.6666666666666666
188561at32523	0.6470588235294118
188643at32523	0.7857142857142857
189244at32523	0.8823529411764706
189558at32523	0.6666666666666666
190386at32523	0.8666666666666667
191322at32523	0.8571428571428571
191790at32523	0.6470588235294118
192580at32523	0.7222222222222222
192944at32523	0.6470588235294118
193058at32523	1
193635at32523	0.7777777777777778
193873at32523	0.6666666666666666
194240at32523	0.75
194455at32523	0.75
195495at32523	0.75
196473at32523	0.8571428571428571
196917at32523	0.625
197140at32523	0.6666666666666666
198109at32523	0.7777777777777778
198830at32523	0.9
199010at32523	0.7058823529411765
199466at32523	0.7647058823529411
199537at32523	0.6153846153846154
200031at32523	0.8
200408at32523	0.7222222222222222
200625at32523	0.8
202869at32523	0.6666666666666666
203233at32523	0.9285714285714286
203243at32523	0.6428571428571429
203700at32523	0.8181818181818182
203712at32523	1
203753at32523	0.875
204259at32523	0.7222222222222222
204538at32523	0.6470588235294118
205149at32523	0.7058823529411765
208035at32523	0.6153846153846154
208618at32523	0.7222222222222222
209730at32523	0.8333333333333334
210195at32523	0.6666666666666666
210226at32523	0.6428571428571429
210503at32523	0.625
211044at32523	0.7777777777777778
212687at32523	0.6875
212699at32523	0.8125
213031at32523	0.6666666666666666
213441at32523	0.8333333333333334
213961at32523	0.7777777777777778
214115at32523	0.6470588235294118
214194at32523	0.7777777777777778
215436at32523	0.6470588235294118
215514at32523	0.7777777777777778
215625at32523	0.875
215649at32523	0.6875
216370at32523	0.7222222222222222
216435at32523	0.7142857142857143
216921at32523	0.75
217270at32523	0.625
218233at32523	0.6153846153846154
218576at32523	0.7777777777777778
218597at32523	0.8571428571428571
218632at32523	0.7222222222222222
218685at32523	0.7857142857142857
219201at32523	0.875
219563at32523	0.6666666666666666
219728at32523	0.7333333333333333
222485at32523	0.8333333333333334
222603at32523	0.7
223192at32523	0.7222222222222222
223450at32523	0.7777777777777778
223800at32523	0.7222222222222222
224094at32523	0.7
224357at32523	0.8823529411764706
224759at32523	0.7
225571at32523	0.7058823529411765
225819at32523	0.7333333333333333
226133at32523	0.7
227135at32523	0.6666666666666666
22832at32523	0.625
228563at32523	0.7222222222222222
228819at32523	0.8333333333333334
229316at32523	0.8235294117647058
229340at32523	0.7777777777777778
230043at32523	0.7058823529411765
230581at32523	0.8125
232356at32523	0.9
232531at32523	0.7142857142857143
233591at32523	0.7058823529411765
233720at32523	0.6875
234304at32523	0.625
235309at32523	0.7777777777777778
235509at32523	0.75
235818at32523	0.625
236312at32523	0.8235294117647058
236470at32523	0.6470588235294118
236822at32523	0.8571428571428571
237414at32523	0.875
237758at32523	0.9411764705882353
237813at32523	0.6666666666666666
237986at32523	0.6666666666666666
238128at32523	0.6470588235294118
238826at32523	0.6470588235294118
238978at32523	0.9285714285714286
239181at32523	1
239496at32523	0.6666666666666666
239575at32523	0.625
239784at32523	1
240467at32523	0.7222222222222222
240735at32523	0.8
241282at32523	0.75
241551at32523	0.7333333333333333
241639at32523	0.875
241769at32523	0.6470588235294118
242587at32523	0.875
243039at32523	0.75
243068at32523	1
243357at32523	0.8
243385at32523	0.9166666666666666
243504at32523	0.8235294117647058
244174at32523	0.8571428571428571
244490at32523	0.6666666666666666
244874at32523	0.7222222222222222
244942at32523	0.6923076923076923
245153at32523	0.6875
245732at32523	0.6666666666666666
245810at32523	1
246274at32523	0.7058823529411765
247680at32523	0.6470588235294118
248911at32523	0.8888888888888888
249113at32523	0.8823529411764706
249219at32523	0.75
249574at32523	0.9411764705882353
249661at32523	0.6470588235294118
249702at32523	0.625
250470at32523	0.7058823529411765
250587at32523	0.6470588235294118
25058at32523	0.75
250611at32523	0.625
250658at32523	0.7647058823529411
250844at32523	0.875
250976at32523	1
251416at32523	0.6666666666666666
251873at32523	0.75
251946at32523	0.8125
252712at32523	0.6470588235294118
253171at32523	0.8125
253220at32523	0.75
253405at32523	0.6470588235294118
253631at32523	0.6470588235294118
253752at32523	0.6666666666666666
253762at32523	0.6153846153846154
254079at32523	1
254179at32523	0.7777777777777778
254236at32523	1
254458at32523	0.7857142857142857
254634at32523	0.75
254860at32523	0.7777777777777778
254887at32523	0.625
255079at32523	0.6470588235294118
255510at32523	0.7222222222222222
255581at32523	0.7647058823529411
255687at32523	0.7142857142857143
256220at32523	0.7058823529411765
256441at32523	0.7222222222222222
256772at32523	0.6470588235294118
257119at32523	0.7692307692307693
257442at32523	0.6666666666666666
257713at32523	0.9285714285714286
257812at32523	0.7222222222222222
257936at32523	0.6875
257979at32523	0.8235294117647058
258013at32523	0.8125
258368at32523	0.625
258710at32523	0.8823529411764706
258823at32523	0.7647058823529411
259026at32523	0.6470588235294118
259095at32523	0.6666666666666666
259127at32523	0.7647058823529411
259403at32523	0.75
260366at32523	0.9375
260416at32523	0.6470588235294118
260825at32523	0.875
260835at32523	0.6153846153846154
261858at32523	0.8333333333333334
262005at32523	0.8235294117647058
262189at32523	0.6666666666666666
262363at32523	0.7272727272727273
262601at32523	0.6875
263137at32523	0.6666666666666666
263553at32523	0.7222222222222222
263885at32523	0.9375
263950at32523	0.75
264361at32523	0.8888888888888888
264559at32523	0.75
264604at32523	0.8
264636at32523	0.7857142857142857
265332at32523	0.625
265941at32523	0.7692307692307693
266457at32523	0.8235294117647058
26652at32523	0.7777777777777778
266561at32523	0.7222222222222222
266604at32523	0.7333333333333333
267061at32523	0.8823529411764706
267170at32523	0.8235294117647058
267472at32523	1
267926at32523	0.6666666666666666
268020at32523	0.7272727272727273
268208at32523	1
268617at32523	0.6666666666666666
269039at32523	0.875
269108at32523	0.6875
269194at32523	0.625
269666at32523	0.6470588235294118
269758at32523	0.8571428571428571
269797at32523	0.7333333333333333
270073at32523	0.9375
270101at32523	0.6666666666666666
270215at32523	0.7058823529411765
270902at32523	0.6470588235294118
271272at32523	0.6470588235294118
272011at32523	0.7058823529411765
272134at32523	0.8571428571428571
273227at32523	0.7777777777777778
273398at32523	0.7222222222222222
273646at32523	0.7777777777777778
274027at32523	0.625
274390at32523	0.625
274796at32523	0.625
275846at32523	0.7647058823529411
